minsize=10,,
T,Size,Discovered
0.0,19,0.168719
18.856651313,17,0.330325
38.500113488,15,0.357916
58.854566244,13,0.37255
84.127439672,12,0.389529
119.106396412,11,0.39062
156.126521628,9,0.436527
174.590270825,8,0.468534
201.803742384,7,0.482111
220.314380173,6,0.498545
283.020557148,13,0.604231
294.318048646,10,0.644098
312.635530536,8,0.676128
332.852872977,7,0.676835
365.465494646,6,0.677093
403.966418134,6,0.716827
422.319142886,5,0.748827
508.818778604,11,0.851854
524.914426775,9,0.894844
543.982832897,7,0.925363
588.738549697,4,0.96498
605.224355086,2,0.997083

minsize=15,,
0.0,15,0.168719
16.581643809,17,0.335174
27.955698211,16,0.351766
52.23302817,12,0.385846
71.346744638,11,0.38694
101.278139762,11,0.388903
133.938953594,10,0.43596
156.994958456,9,0.467039
180.95325815,7,0.498273
238.659189785,14,0.603694
254.767422326,10,0.646014
274.184963893,8,0.677726
318.897963004,6,0.717844
335.15015507,3,0.750109
421.693945566,9,0.853784
433.20695652,6,0.894019
451.555694221,4,0.925761
482.347275939,3,0.926078
520.182917118,2,0.965194
538.266650888,0,0.997591

minsize=20,,
0.0,11,0.168719
17.352772421,14,0.326837
41.220599668,11,0.361267
65.279661999,9,0.39283
110.98815264,8,0.437867
128.140631906,7,0.46818
154.588029737,7,0.483319
173.989440053,6,0.498965
236.695822929,10,0.605609
248.167556374,9,0.646839
266.632310118,7,0.678566
286.007928161,6,0.678772
335.76550484,4,0.71928
354.107385067,2,0.751589
440.154965857,8,0.854793
456.21325296,6,0.897629
475.773301268,3,0.928199
520.712724466,2,0.966564
537.296409912,0,0.999145